step,train_time_s,train_loss,eval_loss
16300,2.222723,2.0900395,2.1151836
16400,2.236373,2.1021662,2.1162424
16500,2.249890,2.1049747,2.112418
16600,2.263496,2.1013253,2.111359
16700,2.277269,2.0966544,2.1124856
16800,2.290991,2.088189,2.1129613
16900,2.304661,2.1016808,2.110897
17000,2.318381,2.1019735,2.1115358
17100,2.332079,2.0975993,2.1095424
17200,2.345670,2.0934663,2.112967
17300,2.359522,2.0923605,2.1115093
17400,2.373324,2.0964196,2.1121433
17500,2.386900,2.1013196,2.1080341
17600,2.400427,2.0882764,2.1088302
17700,2.413931,2.095049,2.109512
17800,2.427502,2.0907812,2.110463
17900,2.441117,2.0954506,2.1111987
18000,2.454552,2.0966375,2.1089194
18100,2.468012,2.0897207,2.1088893
18200,2.481489,2.0887284,2.1070151
18300,2.495084,2.0922585,2.1089337
18400,2.508883,2.0948179,2.1086357
18500,2.522406,2.0938942,2.1073408
18600,2.535918,2.0928717,2.1081069
18700,2.549536,2.079338,2.107199
18800,2.562930,2.0943768,2.1075885
18900,2.576722,2.0942657,2.10697
19000,2.590334,2.0900424,2.1054866
19100,2.603710,2.0924296,2.106609
19200,2.617395,2.0767267,2.106759
19300,2.630853,2.0916188,2.106619
19400,2.644457,2.0936184,2.1056767
19500,2.657834,2.0877142,2.1045604
19600,2.671285,2.0889199,2.1053312
19700,2.684974,2.0767539,2.1051352
19800,2.698294,2.0872436,2.1050475
19900,2.711618,2.0924456,2.1047587
20000,2.725132,2.0867984,2.104579
