step,train_time_s,train_loss,eval_loss
16300,1.462197,2.1102805,2.1303039
16400,1.469865,2.1216295,2.1269295
16500,1.482539,2.12254,2.1272397
16600,1.490514,2.1145036,2.127999
16700,1.501883,2.115227,2.1233814
16800,1.509822,2.1115217,2.1268175
16900,1.518590,2.1224349,2.1285312
17000,1.528188,2.1014788,2.1237001
17100,1.535874,2.1054156,2.1270204
17200,1.543171,2.1165333,2.126094
17300,1.550760,2.1090288,2.124991
17400,1.559508,2.116851,2.1247404
17500,1.569369,2.1205895,2.125347
17600,1.577023,2.1073349,2.1249747
17700,1.586654,2.117142,2.1219845
17800,1.595696,2.109162,2.124216
17900,1.603398,2.1088283,2.1231182
18000,1.611433,2.090362,2.1227274
18100,1.619660,2.1187732,2.1223836
18200,1.628189,2.1036992,2.122148
18300,1.636404,2.1170728,2.1222143
18400,1.644952,2.1039062,2.1221185
18500,1.653254,2.1177678,2.120654
18600,1.660404,2.0938537,2.120616
18700,1.668011,2.1123812,2.1197755
18800,1.675651,2.1133873,2.1187491
18900,1.684028,2.102639,2.1192758
19000,1.693778,2.0881896,2.1183887
19100,1.701520,2.1135278,2.1188679
19200,1.710563,2.096428,2.1185067
19300,1.718333,2.1075153,2.1179192
19400,1.726612,2.1063044,2.117808
19500,1.736989,2.1067083,2.1178057
19600,1.752013,2.098723,2.1169596
19700,1.760021,2.1007013,2.116834
19800,1.767703,2.109073,2.1169562
19900,1.776500,2.0904896,2.116601
20000,1.785301,2.0916517,2.1164062
