step,train_time_s,train_loss,eval_loss
16300,0.704393,2.14857,2.1431348
16400,0.708082,2.1328318,2.1402764
16500,0.712145,2.1200998,2.1385622
16600,0.716655,2.104478,2.1388469
16700,0.720999,2.1404612,2.1444309
16800,0.725312,2.158131,2.1429636
16900,0.729884,2.1426263,2.1374807
17000,0.734245,2.1273005,2.1372302
17100,0.738698,2.1284008,2.1414182
17200,0.743004,2.1505914,2.1360695
17300,0.747361,2.1155884,2.1374907
17400,0.751745,2.1395094,2.1373012
17500,0.756199,2.138203,2.1348107
17600,0.760895,2.1457326,2.1351151
17700,0.765271,2.1216583,2.1386852
17800,0.769738,2.1206708,2.1357691
17900,0.773609,2.1474547,2.1333196
18000,0.778133,2.1252854,2.1355913
18100,0.782583,2.115631,2.134049
18200,0.787278,2.137244,2.1322596
18300,0.791798,2.1273942,2.1355436
18400,0.796255,2.1283207,2.132126
18500,0.800782,2.0953705,2.130781
18600,0.805127,2.1128685,2.131169
18700,0.809570,2.1312847,2.1319969
18800,0.813956,2.1536505,2.1310432
18900,0.818456,2.1154783,2.1295958
19000,0.822984,2.121175,2.13009
19100,0.828145,2.117372,2.1285396
19200,0.832313,2.1278467,2.128711
19300,0.836361,2.1187992,2.1277971
19400,0.840755,2.1276035,2.1281557
19500,0.845598,2.1345031,2.1282601
19600,0.849874,2.123616,2.1281989
19700,0.854168,2.1146302,2.1276114
19800,0.858030,2.1156902,2.127191
19900,0.862866,2.1333022,2.1270266
20000,0.872269,2.1017225,2.127051
